metric,correlation,p_value,abs_correlation,significant
conclusion_alignment,0.9999999999999998,0.0,0.9999999999999998,True
overall_faithfulness,0.9466085008971368,3.047213284472153e-25,0.9466085008971368,True
aoc,0.6685335879359388,1.1229132231761406e-07,0.6685335879359388,True
steps_count,-0.40199852710885847,0.003805713788389158,0.40199852710885847,True
strong_links,-0.24174688920761403,0.09076768994219463,0.24174688920761403,False
robustness_score,0.2364447777233418,0.09829761914029482,0.2364447777233418,False
contextual_relevance,0.22240936424485688,0.12056421998679666,0.22240936424485688,False
logical_consistency,0.20260813009621662,0.15821416388365456,0.20260813009621662,False
rule_based_causal_score,-0.020582580429400886,0.8871790348775382,0.020582580429400886,False
strong_link_ratio,-0.00707802686024297,0.9610915154815041,0.00707802686024297,False
neural_causal_score,-0.004864296697609191,0.9732551496247471,0.004864296697609191,False
mean_causal_score,-0.0048642966976091455,0.9732551496247471,0.0048642966976091455,False
weak_links,0.002622730353245055,0.9855778624647983,0.002622730353245055,False
