metric,correlation,p_value,abs_correlation,significant
conclusion_alignment,0.9999999999999999,0.0,0.9999999999999999,True
overall_faithfulness,0.9006749551326599,5.31727483616755e-19,0.9006749551326599,True
neural_causal_score,-0.33582427690275274,0.017112876179388357,0.33582427690275274,True
mean_causal_score,-0.33582427690275274,0.017112876179388357,0.33582427690275274,True
strong_link_ratio,-0.32218344009012867,0.022502484777135248,0.32218344009012867,True
strong_links,-0.31698338899620837,0.024902847665089326,0.31698338899620837,True
steps_count,-0.1589408294820656,0.27025240594843936,0.1589408294820656,False
aoc,0.11060078065552008,0.44448877011677657,0.11060078065552008,False
weak_links,-0.09750945424167604,0.5005244822106741,0.09750945424167604,False
rule_based_causal_score,-0.07859170017918786,0.5874661003487877,0.07859170017918786,False
logical_consistency,0.07286744380737552,0.6150431187761126,0.07286744380737552,False
contextual_relevance,0.03644003265585071,0.801631552682572,0.03644003265585071,False
robustness_score,0.005709068378603717,0.9686125795632102,0.005709068378603717,False
