index,is_correct,neural_causal_score,rule_based_causal_score,steps_count,dataset_index,overall_faithfulness,logical_consistency,contextual_relevance,conclusion_alignment,unfaithful_info_count,strong_links,weak_links,total_possible_links,mean_causal_score,strong_link_ratio,weak_link_ratio,aoc,accuracy_retained_mean,answer_changes_count,robustness_score,maintains_correctness_mean,neural_causal_score_quartile,overall_faithfulness_quartile,steps_count_quartile
0,True,0.22115407247594182,0.375,41,8,0.7497250643867717,0.8292682926829268,0.4199071253949303,1.0,7,5,2,40,0.22115407247594182,0.125,0.05,0.25,0.4,3,0.5,0.5,Q4,Q4,Q4
1,False,0.10494632014527863,0.6,21,16,0.19786803637618142,0.4285714285714286,0.16503273991753253,0.0,12,2,0,20,0.1049463201452786,0.1,0.0,0.125,0.2,2,1.0,0.0,Q3,Q1,Q1
2,False,0.09793540957982144,0.375,17,25,0.3558781118924999,0.7647058823529411,0.30292856008800284,0.0,4,1,1,16,0.09793540957982146,0.0625,0.0625,0.5,0.6,3,0.5,0.5,Q3,Q1,Q1
3,False,0.1837747112639814,0.3548387096774194,32,30,0.3245469030976768,0.65625,0.31739080665711106,0.0,11,5,0,31,0.1837747112639814,0.16129032258064516,0.0,0.25,0.2,2,1.0,0.0,Q4,Q1,Q4
4,False,0.04929213476039262,0.42105263157894735,20,37,0.2927972416754386,0.7,0.17839181286549707,0.0,6,0,1,19,0.04929213476039262,0.0,0.05263157894736842,0.0,0.0,0,1.0,0.0,Q2,Q1,Q1
5,False,0.15658581612974445,0.43478260869565216,24,40,0.28822791398208797,0.5833333333333333,0.28135049508131355,0.0,10,3,1,23,0.15658581612974445,0.13043478260869565,0.043478260869565216,0.375,0.6,3,1.0,0.0,Q4,Q1,Q2
6,False,0.11415843747228323,0.20833333333333334,25,61,0.2694920472533931,0.6,0.20847622260780155,0.0,10,2,1,24,0.11415843747228323,0.08333333333333333,0.041666666666666664,0.5,0.8,5,0.0,0.5,Q3,Q1,Q3
7,True,0.16844422513556176,0.34615384615384615,27,67,0.7352410534811469,0.8518518518518519,0.3538715291639268,1.0,4,3,1,26,0.16844422513556176,0.11538461538461539,0.038461538461538464,0.25,0.4,3,0.0,0.0,Q4,Q4,Q3
8,False,0.2780223939259022,0.4,21,73,0.4292057808230565,0.9523809523809523,0.3352365188499642,0.0,1,5,1,20,0.2780223939259022,0.25,0.05,0.0,0.0,0,1.0,0.0,Q4,Q2,Q1
9,False,0.12332102123398189,0.4722222222222222,37,78,0.3334105750695476,0.6486486486486487,0.3515831765831766,0.0,13,3,1,36,0.12332102123398189,0.08333333333333333,0.027777777777777776,0.125,0.2,3,1.0,0.0,Q3,Q1,Q4
