metric,correlation,p_value,abs_correlation,significant
conclusion_alignment,0.9999999999999997,0.0,0.9999999999999997,True
overall_faithfulness,0.9443400683306922,8.061923521606083e-25,0.9443400683306922,True
aoc,0.473554501317786,0.0005137662076715407,0.473554501317786,True
robustness_score,0.439950357976473,0.001388693544129669,0.439950357976473,True
weak_links,-0.28891899632871154,0.041859267064267736,0.28891899632871154,True
strong_links,-0.28111422167146083,0.04797610117467592,0.28111422167146083,True
steps_count,-0.2737460217968255,0.0543997540709973,0.2737460217968255,False
contextual_relevance,0.2481463722210201,0.08228639452360077,0.2481463722210201,False
rule_based_causal_score,-0.22861927308306051,0.11028261229920347,0.22861927308306051,False
strong_link_ratio,-0.20080216711828724,0.16203465277468312,0.20080216711828724,False
neural_causal_score,-0.19955244614231454,0.16471760625850063,0.19955244614231454,False
mean_causal_score,-0.19955244614231454,0.16471760625850063,0.19955244614231454,False
logical_consistency,0.11961708856486625,0.40800808406440375,0.11961708856486625,False
